Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Флорист,40,от 200 000 KZT до вычета налогов,не требуется,ИП La Flore,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, проспект Аль-Фараби, 77/1",полный день,"Полная занятость, полный день","Опытный пользователь ПК, знание MS Office;Флористика;Работа в команде;Умение организовывать работу;умение слушать, давать компетентные советы, находить подход к клиентам;Коммуникабельность, стрессоустойчивость;Коммуникабельность, ответственность;Умение эффективно планировать свое время;",https://almaty.hh.kz/vacancy/80830434
Ресепшионист,40,от 150 000 до 200 000 KZT на руки,не требуется,ТОО QAZAQ_MOTORS_ALMATY,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Улыбчивость;Корпоративная этика;Грамотность;Русский язык;Казахский язык;Общение с людьми;Работа в команде;Чистоплотность;Работа с ПК;,https://almaty.hh.kz/vacancy/81041583
SMM-менеджер,3,от 100 000 до 150 000 KZT на руки,не требуется,ИП Jumsaq,Вакансия опубликована 24 мая 2023 в Алматы,Алматы,гибкий график,"Полная занятость, гибкий график",Креативность;Adobe Photoshop;Canva;SMS маркетинг;Генерация идей;SMM;Продвижение мероприятий компании в социальных сетях;Продвижение в социальных группах;Работа с видео хостерами;Контент;Работа в команде;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80951691
Мерчендайзер,77,от 170 000 до 250 000 KZT на руки,не требуется,ТОО Noblesse Food,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, микрорайон Атырау-3",полный день,"Полная занятость, полный день",Желание обучаться;Желание работать и развиваться;Работа в команде;Умение работать на результат;Мерчандайзинг;,https://almaty.hh.kz/vacancy/80694249
Бухгалтер-кассир,18,от 250 000 KZT на руки,не требуется,ТОО HT.KZ Central,Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Инкассация;Кассовые операции;Работа с кассой;Работа в команде;1С: Предприятие 8;1С: Бухгалтерия;Касса;Интернет-банкинг;,https://almaty.hh.kz/vacancy/80823297
Менеджер по туризму,72,от 200 000 до 2 000 000 KZT на руки,не требуется,ТОО today.travel UK,Вакансия опубликована 27 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,"Полная занятость, полный день",Клиентоориентированность;Умение работать в команде;Деловая коммуникация;Обучение и развитие;Работа в команде;Навыки межличностного общения;Активные продажи;Статистический анализ;Собеседование;Прямые продажи;Холодные продажи;Деловое общение;Навыки продаж;Холодные звонки;Креативность;Работа с жалобами клиентов;,https://almaty.hh.kz/vacancy/54455733
Младший Куратор,55,з/п не указана,не требуется,ТОО inDrive,Вакансия опубликована 26 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Копирайтинг;Деловая коммуникация;Навыки межличностного общения;Грамотная устная и письменная речь;Казахский язык;Литературное редактирование;Организаторские навыки;Искусство;,https://almaty.hh.kz/vacancy/81097244
Помощник бухгалтера,18,от 200 000 KZT на руки,не требуется,ТОО DR Financial Group,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, улица Ауэзова, 175",полный день,"Полная занятость, полный день","Бумажный документооборот;Уверенный пользователь ПК;Поддержка работы офиса;Грамотная речь;Обеспечение жизнедеятельности офиса;Работа с оргтехникой;обработка входящей корреспонденции;Обработка исходящей корреспонденции;Опытный пользователь ПК;Работа с большим объемом информации;Знание MS Office;Внимательность, ответственность;Желание учиться и развиваться;Умение легко находить контакт с людьми;Работа в условиях многозадачности;Старательность;Легкообучаемый;",https://almaty.hh.kz/vacancy/80865369
Менеджер контактного центра,40,от 300 000 до 400 000 KZT на руки,не требуется,ТОО PARTNERS - SM,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80199998
Ресепшионист / Оператор сервисного обслуживания,8,до 300 000 KZT на руки,не требуется,ИП Cosmopolis Management,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Медеуский район, жилой комплекс Тау Шатыр",сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;Организаторские навыки;Английский язык;Деловое общение;Русский — C2 — В совершенстве;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80664552
Торговый представитель категория В С (кондитерские изделия),129,от 300 000 руб. на руки,не требуется,ТОО Resurs Group,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81050807
Ассистент руководителя отдела импортных закупок и логистики,67,от 200 000 до 250 000 KZT на руки,не требуется,"INTELLPACK, компания",Вакансия опубликована 22 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/67319280
Оператор производства,85,от 140 000 до 200 000 KZT на руки,не требуется,ТОО Керемет Су СКЕ,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Бартольда, 157Б",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/68830556
Специалист по взысканию просроченной задолженности,147,от 300 000 до 500 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ AUTO SIYLIQ FINANCE,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 404",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80425923
Менеджер по продажам логистических услуг,67,от 200 000 KZT на руки,не требуется,ТОО SINO RAILWAY TRANSPORT (ALMATY) LLP,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Алатау, Байконур, Театр имени Ауэзова, улица Ауэзова, 82",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80918142
"Монтажник слаботочных систем (СКС, Видеонаблюдение, СКУД)",78,от 200 000 KZT на руки,не требуется,ТОО MAXTEL NETWORKS,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, Байконур, улица Досмухамедова, 89",полный день,"Полная занятость, полный день",Системы видеонаблюдения;Системы охранно-тревожной сигнализации;Технические системы и средства безопасности;Монтаж оборудования;Электрические системы и слаботочные системы;Пожарная сигнализация;Системы безопасности;Электротехнические работы;Монтаж инженерных систем;Пуско-наладочные работы;Производство строительно-монтажных работ;,https://almaty.hh.kz/vacancy/80789985
Риэлтор / Специалист по работе с клиентами,40,от 500 000 до 2 500 000 KZT на руки,не требуется,ИП Avenue (ТАНАТАРОВ А.М),Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Планирование продаж Грамотная речь Работа в команде Организаторские навыки Ведение переговоров;,https://almaty.hh.kz/vacancy/79915370
Ведущий специалист отдела продаж,54,от 300 000 до 700 000 KZT на руки,не требуется,Quickcall,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/67492735
Бухгалтер по учету тмц,18,от 150 000 до 200 000 KZT на руки,не требуется,ТОО АМК-Метиз,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Бекмаханова, 96/4",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Ведение отчетности;Грамотность;Работа с большим объемом информации;Работа в программе 1С;Работа в условиях многозадачности;Желание работать и развиваться;,https://almaty.hh.kz/vacancy/80792356
Специалист по взысканию задолженности,120,от 125 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Garant collection,Вакансия опубликована 24 мая 2023 в Алматы,"Алматы, Москва, улица Кабдолова, 22Б",полный день,"Полная занятость, полный день",Взыскание задолженности;Телефонные переговоры;Работа с базами данных;Деловое общение;Мобильность;Пользователь ПК;Консультирование;Умение работать в команде;Ведение переписки;Базы данных;Навыки составления отчетности;Работа в команде;Электронная почта;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80880640
Актриса/актер,13,до 500 000 KZT на руки,не требуется,ТОО Multi Do Production,Вакансия опубликована 28 апреля 2023 в Алматы,"Алматы, улица Макатаева, 117А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79898989
